(1000, 0)
(2000, 0)
(3000, 0)
(3000, 0)
(4000, 0)
(5000, 0)
(5000, 1000)
(6000, 1000)
(6000, 2000)
(6000, 2000)
(6000, 2000)
(6000, 2000)
(7000, 2000)
(8000, 2000)
(8000, 2000)
(8000, 3000)
(9000, 3000)
(9000, 3000)
(10000, 3000)
(10000, 3000)
(11000, 3000)
(12000, 4000)
(13000, 4000)
(14000, 4000)
(14000, 4000)
(14000, 5000)
(15000, 5000)
(16000, 5000)
(16000, 6000)
(16000, 7000)
(16000, 7000)
(17000, 7000)
(18000, 7000)
(18000, 8000)
(19000, 8000)
(20000, 8000)
(21000, 8000)
(21000, 8000)
(21000, 9000)
(22000, 9000)
(22000, 9000)
(22000, 9000)
(22000, 9000)
(23000, 9000)
(24000, 9000)
(25000, 9000)
(26000, 9000)
(27000, 9000)
(28000, 9000)
(29000, 9000)
(30000, 9000)
(31000, 9000)
(32000, 9000)
(32000, 10000)
(33000, 10000)
(33000, 10000)
(33000, 10000)
(33000, 10000)
(33000, 11000)
(33000, 11000)
(34000, 11000)
(35000, 11000)
(36000, 11000)
(37000, 11000)
(37000, 11000)
(38000, 11000)
(39000, 11000)
(39000, 11000)
(40000, 11000)
(40000, 11000)
(41000, 11000)
(41000, 11000)
(41000, 11000)
(41000, 11000)
(41000, 11000)
(42000, 11000)
(42000, 12000)
(43000, 12000)
(43000, 13000)
(43000, 13000)
(43000, 13000)
(44000, 13000)
(44000, 14000)
(45000, 14000)
(46000, 14000)
(47000, 14000)
(48000, 14000)
(49000, 14000)
(50000, 14000)
(51000, 14000)
(52000, 14000)
(53000, 14000)
(54000, 14000)
(55000, 14000)
(56000, 14000)
(56000, 14000)
(56000, 14000)
(57000, 14000)
(58000, 14000)
(59000, 14000)
